mggid	ship	cruise	sample	device_code	device	year	month	day	time	latdeg	latmin	latminhun	ns	londeg	lonmin	lonminhun	lonew	latlon_orig	lat	lon	water_depth	core_length	device2	comments
20995002	Northwind	NW362	014	101	grab, orange peel	1962	10	11		71	02	00	N	170	02	00	E	m	71.0333	170.0333	0	0			
20995002	Northwind	NW262	023	400	core, gravity undiff.	1962	09	12		63	00	00	N	177	00	00	W	m	63	-177	93	61			
20995002	Northwind	NW262	026	501	core, piston, kullenberg	1962	09	12		63	00	00	N	176	00	00	W	m	63	-176	85	92			
20995002	Northwind	NW262	035	101	grab, orange peel	1962	09	13		62	00	00	N	174	00	00	W	m	62	-174	0	0			
20995002	Northwind	NW262	013	100	grab, undifferentiated	1962	09	10		63	31	00	N	179	59	00	W	m	63.5167	-179.9833	43				
41995001	Multiple	RU529OCS	37SL_A	100	grab, undifferentiated	1977	08	14		70	32	20	N	149	30	70	W	m	70.5367	-149.5117	2		GRAB SAMPLE		
41995001	Multiple	RU529OCS	21SL_B	100	grab, undifferentiated	1977	08	07		70	31	80	N	149	46	90	W	m	70.53	-149.7817	2		GRAB SAMPLE		
23055001	T-Kip IV	II-A	15SN012	107	grab, smith-mcintyre	1978	08	20	2250	28	10	09	N	091	29	65	W	m	28.1682	-91.4942	91	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	15SN052	107	grab, smith-mcintyre	1978	08	21	0210	28	10	30	N	091	29	65	W	m	28.1717	-91.4942	90	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	13SN209	107	grab, smith-mcintyre	1978	08	26	0342	28	57	88	N	089	42	38	W	m	28.9647	-89.7063	51	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	13SN203	107	grab, smith-mcintyre	1978	08	26	0342	28	57	88	N	089	42	38	W	m	28.9647	-89.7063	51	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	13SN057	107	grab, smith-mcintyre	1978	08	26	0223	28	57	07	N	089	42	38	W	m	28.9512	-89.7063	51	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	13SN103	107	grab, smith-mcintyre	1978	08	26	0315	28	57	34	N	089	42	38	W	m	28.9557	-89.7063	51	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	12SN20X	107	grab, smith-mcintyre	1978	08	25	0338	29	00	20	N	090	09	68	W	m	29.0033	-90.1613	24	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	13SN014	107	grab, smith-mcintyre	1978	08	26	0109	28	56	85	N	089	42	38	W	m	28.9475	-89.7063	51	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	13SN056	107	grab, smith-mcintyre	1978	08	26	0223	28	57	07	N	089	42	38	W	m	28.9512	-89.7063	51	5	SMITH-MCINTYRE		
23045002	Sea Transporter	II-C	03PW20X	107	grab, smith-mcintyre	1978	09	22	1158	28	40	03	N	090	15	95	W	m	28.6672	-90.2658	29	5	SMITH-MCINTYRE		
23045002	Sea Transporter	II-C	04PW209	107	grab, smith-mcintyre	1978	09	22	1409	28	34	05	N	090	25	76	W	m	28.5675	-90.4293	36	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	04PN053	107	grab, smith-mcintyre	1979	01	15	1409	28	34	42	N	090	24	48	W	m	28.5737	-90.408	40	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	04PE207	107	grab, smith-mcintyre	1979	01	10	1250	28	34	15	N	090	23	30	W	m	28.5692	-90.3883	38	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	04PE20X	107	grab, smith-mcintyre	1979	01	10	1250	28	34	15	N	090	23	30	W	m	28.5692	-90.3883	38	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	04PE203	107	grab, smith-mcintyre	1979	01	10	1250	28	34	15	N	090	23	30	W	m	28.5692	-90.3883	38	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	04PE057	107	grab, smith-mcintyre	1979	01	10	1405	28	34	15	N	090	24	23	W	m	28.5692	-90.4038	38	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PS014	107	grab, smith-mcintyre	1978	05	27	2113	29	02	75	N	090	09	75	W	m	29.0458	-90.1625	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PN207	107	grab, smith-mcintyre	1978	05	27	0516	29	03	92	N	090	09	77	W	m	29.0653	-90.1628	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PN201	107	grab, smith-mcintyre	1978	05	27	0516	29	03	92	N	090	09	77	W	m	29.0653	-90.1628	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PN204	107	grab, smith-mcintyre	1978	05	27	0516	29	03	92	N	090	09	77	W	m	29.0653	-90.1628	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PN101	107	grab, smith-mcintyre	1978	05	27	0420	29	03	38	N	090	09	77	W	m	29.0563	-90.1628	12	5	SMITH-MCINTYRE		
06995003	Sea Sounder	S276WG	26	103	grab, van veen	1976	06	29	1032	59	08	10	N	152	22	10	W	m	59.135	-152.3683	119		VAN VEEN GRAB		
